,text,labels
0,나의고등학교년을가득채워주었던너학원끝나고같이학교녹색운동장에앉아서두런두런얘기하고운동장에서동네주민이산책시키던강아지가갑자기우리한테안겨서막웃었던기억이아직도새록새록해그때그노을과가을바람과,0
1,댓글들이다년전이네다들지금은어떨까다잊고새로운사람을만나행복할까아직도잊지못하고아파할까,0
2,그냥원래대로돌아왔을뿐이야다시여기에익숙해면돼,0
3,이제는운명이아닌우연이었단걸인정할시간,0
4,어느새년도약달정도남아버렸네요너무힘들어서버티지못할것만같던년월이지나월이되었네요곧마주하게될년도모두행복하고건강하길바라며이글을보는모두에게사랑의응원과커다란지지를,0
5,세상에는수많은인연이있고수많은이별이있어그러니만약우리가이별을하게된다면새롭게만날인연을생각하며그리워말고추억으로남겨두자,0
6,매일맑다면사막이되겠지,0
7,처음부터만나지말걸후회하기엔너무늦었고우리가정말헤어졌구나인정하기엔아직이르죠아무데서나울기엔너무나이를먹었고인생은어차피혼자라웃어버리기엔아직마음이아파요사랑한다고말하려니우리는이미끝났고사랑했었,0
8,첫사랑은평생안잊힌다이말이첫사랑하기전까진몰랐는데널만나고사귀다헤어지고다른사람만나고헤어져도떠오르는추억과그리움은너에게가더라그땐나도어렸고너도어려서잘못해주고서툴렀던것같다우리가더커서만났다면,0
9,둘째품은지주도안돼서하늘나라로보냈습니다자식은죽으면가슴에묻는다고사랑스러운첫째도있고다시임신해서아이를낳을수도있겠지만평생잊지못할것같아요,0
10,되돌리기에는너무늦었잖아요,0
11,널추억으로묻어두기엔그시절의우리는너무행복했다그러니약속하자서로를너무그리워하지말기로그저가끔정말가끔씩만그땐그랬지라며서로를회상하기로,0
12,우연히전여자친구에게서연락이왔다그전에는내가가끔연락을시도했지만받아주지않았던그녀였기에더욱반갑고묘했다할이야기가너무많았다차근차근말해주고싶었지만쏟아져나오는생각과단어들을주체할수없었다전화와,0
13,아빠아들이에요항상보고싶어요너무보고싶어요몇초라도좋으니안아주고가주세요아빠얼굴을잊을까봐너무무섭고아빠목소리까먹을까봐무서워요언제라도좋으니한번만제발한번만다시와줘요많이보고싶어요,0
14,아스트로문빈님과같은날에제친구가함께떠났습니다우주의여백어딘가에서자유로이유영하고있을그아이를내내그리워하다가이곳을찾게되었어요감사합니다,0
15,내가그리운건너가아니라그때에너와내가함께했던것들그때의날씨분위기너의표정과말투우리가같이있었던곳들함께했던것들내가바라보던너그때내감정사실나는그때에너가그리운것같아다시돌아가도돌아갈수있다해도,0
16,나마저잊어버리면우리가어떤사이였는지누가기억해주는데,0
17,내가너를추억으로남길수있을까어렸을때함께불장난하다집태워먹을뻔한것밥먹듯가출하는너를찾으려피시방을전전했던것엄마에게혼날땐어린몸으로부둥켜안고서로맞아주며울던것연년생이라맨날치고박고싸웠던,0
18,다들연애에대한그리움이구나나는초등학교학년때가가장그리워반친구들도다너무재밌었고장난치면잘받아주던친구들선생님도가끔은미웠지만항상우리를위한선택을해주셨었어우리반이다른반들에비해서분위,0
19,몇십억인구중너와나둘만이아는추억들잘간직하고가끔꺼내보아요나의첫디딤돌이되어주어서감사합니다,0
20,너의우선은내가아니었어나는늘너의마지막이었지그것마저사랑인줄알았어너아니면안될것같았어미련하게붙잡을생각만했었어사랑이라고착각했고다시연락이되길바랬지하지만지금은아니야너와는비교도못하는좋은사람을만났어있는,0
21,지금쯤이면결혼은했어아이는있어아픈데는없어늘궁금해나는아무데도물어볼데가없어서여기다적어봐아프지마,0
22,더자주안아줄걸사랑한다고말해줄걸이기적인내사랑에혼자이별을맞게해서미안해내가가질아픔만생각하고뒷걸음질쳐서미안해서툰사랑에어울리게해서미안해상처받을까봐더많이사랑해주지못해서미안해사랑을,0
23,우리는운명인줄알았는데그게아니라그냥스쳐가는인연이었구나,0
24,우리가안된다는거처음부터알았지만그런생각을언제나부정하고행복할수있다고생각하고싶은만큼정말모든것을다해서이유없이많이좋아했어이제는연락할수도하루에시간씩하던통화도만날수도만질수도없지만내가,0
25,매일밤내생각이나서가슴이메어졌으면좋겠다나를놓친게후회스러워서네자신을탓하면서힘들어했으면좋겠다너는나한테정말큰상처를남겼는데고작내가원하는게이런거다우리가같이듣던노래들이참많네서로의,0
26,우리의끝이새하얀해피엔딩이될수없다면어두워앞이보이지않는깜깜한검은색이되기보다너무어둡지도밝지도않은회색정도만됐으면좋겠다시간이지나돌이켜봤을때살짝미소지을수있는딱그정도,0
27,잘지내항상행복해내게사랑을가르쳐줘서고마워그리고제대로표현조차못하고끝내서미안해뒤늦게야아프고그리워해서그그리운마음을지우지못하고있어서더미안구질구질하지만보고싶고잘지냈으면좋겠다,0
28,혼란스럽고불안하고암울했던내대너를만나서평생을기억할수있었던게큰행운이었구나그땐아프기만했는데되돌아보니너를사랑했던추억마저없었다면내기억에내대는너무가여웠을것같다참많이고마웠어,0
